station_id,name,language,valid_from,valid_to,name_type,source_id,notes
AM.STN.Gortsaranayin,Gortsaranayin,ru,,,official,SRC.osm,
AM.STN.Gortsaranayin,Gorzaranajin,und,,,alt,SRC.osm,
AM.STN.Gortsaranayin,Горцаранаин,und,,,alt,SRC.osm,
AM.STN.Gortsaranayin,Գործարանային,und,,,alt,SRC.osm,
AM.STN.Gortsaranayin,گورتسارانایین,und,,,alt,SRC.osm,
AM.STN.Yerevan,Yerevan,ru,,,official,SRC.osm,
AM.STN.Yerevan,Jerewan,und,,,alt,SRC.osm,
AM.STN.Yerevan,Ереван,und,,,alt,SRC.osm,
AM.STN.Yerevan,Երևան,und,,,alt,SRC.osm,
AM.STN.Yerevan,ایروان,und,,,alt,SRC.osm,
AM.STN.Yerevan,ერევანი,und,,,alt,SRC.osm,
AM.STN.Garegin_Nzhdeh_Square,Garegin Nzhdeh Square,ru,,,official,SRC.osm,
AM.STN.Garegin_Nzhdeh_Square,Garegin-Nschdeh-Platz,und,,,alt,SRC.osm,
AM.STN.Garegin_Nzhdeh_Square,Place Garéguine Njdeh,und,,,alt,SRC.osm,
AM.STN.Garegin_Nzhdeh_Square,Площадь Гарегина Нжде,und,,,alt,SRC.osm,
AM.STN.Garegin_Nzhdeh_Square,Գարեգին Նժդեհի հրապարակ,und,,,alt,SRC.osm,
AM.STN.Garegin_Nzhdeh_Square,میدان گارگین نژده,und,,,alt,SRC.osm,
AM.STN.Shengavit,Shengavit,ru,,,official,SRC.osm,
AM.STN.Shengavit,Chengavit,und,,,alt,SRC.osm,
AM.STN.Shengavit,Schengawit,und,,,alt,SRC.osm,
AM.STN.Shengavit,Шенгавит,und,,,alt,SRC.osm,
AM.STN.Shengavit,Շենգավիթ,und,,,alt,SRC.osm,
AM.STN.Shengavit,شنگاویت,und,,,alt,SRC.osm,
AM.STN.General_Andranik,General Andranik,ru,,,official,SRC.osm,
AM.STN.General_Andranik,Zoravar Andranik,und,,,alt,SRC.osm,
AM.STN.General_Andranik,Зоравар Андраник,und,,,alt,SRC.osm,
AM.STN.General_Andranik,Октемберян,und,,,alt,SRC.osm,
AM.STN.General_Andranik,Զորավար Անդրանիկ,und,,,alt,SRC.osm,
AM.STN.General_Andranik,Հոկտեմբերյան,und,,,alt,SRC.osm,
AM.STN.General_Andranik,ژنرال آندرانیک,und,,,alt,SRC.osm,
AM.STN.Sanahin,Sanahin,ru,,,official,SRC.osm,
AM.STN.Sanahin,Санаин,und,,,alt,SRC.osm,
AM.STN.Sanahin,Սանահին,und,,,alt,SRC.osm,
AM.STN.Ayrum,Ayrum,ru,,,official,SRC.osm,
AM.STN.Ayrum,Айрум,und,,,alt,SRC.osm,
AM.STN.Ayrum,Այրում,und,,,alt,SRC.osm,
AM.STN.Ayrum,აირუმი,und,,,alt,SRC.osm,
AM.STN.Echmiatsin,Echmiatsin,ru,,,official,SRC.osm,
AM.STN.Echmiatsin,Эчмиадзин,und,,,alt,SRC.osm,
AM.STN.Echmiatsin,Էջմիածին,und,,,alt,SRC.osm,
AM.STN.Echmiatsin,에체미하진,und,,,alt,SRC.osm,
AM.STN.Qarakert,Qarakert,ru,,,official,SRC.osm,
AM.STN.Qarakert,Каракерт,und,,,alt,SRC.osm,
AM.STN.Qarakert,Քարակերտ,und,,,alt,SRC.osm,
AM.STN.Araks,Araks,ru,,,official,SRC.osm,
AM.STN.Araks,Аракс,und,,,alt,SRC.osm,
AM.STN.Araks,Արաքս,und,,,alt,SRC.osm,
AM.STN.Dalarik,Dalarik,ru,,,official,SRC.osm,
AM.STN.Dalarik,Даларик,und,,,alt,SRC.osm,
AM.STN.Dalarik,Դալարիկ,und,,,alt,SRC.osm,
AM.STN.sp_Artashar,sp Artashar,ru,,,official,SRC.osm,
AM.STN.sp_Artashar,оп Арташар,und,,,alt,SRC.osm,
AM.STN.sp_Artashar,Արտաշար կառամատույց,und,,,alt,SRC.osm,
AM.STN.sp_Bagravan,sp Bagravan,ru,,,official,SRC.osm,
AM.STN.sp_Bagravan,оп Баграван,und,,,alt,SRC.osm,
AM.STN.sp_Bagravan,Բագրավան կառամատույց,und,,,alt,SRC.osm,
AM.STN.sp_Shirakavan,sp Shirakavan,ru,,,official,SRC.osm,
AM.STN.sp_Shirakavan,оп Ширакаван,und,,,alt,SRC.osm,
AM.STN.sp_Shirakavan,Շիրակավան կառամատույց,und,,,alt,SRC.osm,
AM.STN.Bayandur,Bayandur,ru,,,official,SRC.osm,
AM.STN.Bayandur,Баяндур,und,,,alt,SRC.osm,
AM.STN.Bayandur,Բայանդուր,und,,,alt,SRC.osm,
AM.STN.Spitak,Spitak,ru,,,official,SRC.osm,
AM.STN.Spitak,Спитак,und,,,alt,SRC.osm,
AM.STN.Spitak,Սպիտակ,und,,,alt,SRC.osm,
AM.STN.Sasuntsi_David,Sasuntsi David,ru,,,official,SRC.osm,
AM.STN.Sasuntsi_David,David von Sasun,und,,,alt,SRC.osm,
