station_id,name_primary,name_latin,lat,lon,country_code,esr_code,osm_node_id,osm_way_id,osm_relation_id,wikidata_id,wikipedia_ru,parovoz_url,railwayz_id,current_status,geometry_quality,notes,created_at,updated_at
AM.STN.Gortsaranayin,Gortsaranayin,Gortsaranayin,40.1411101,44.4986192,AM,,292963794,,,Q4145969,en:Gortsaranayin (Yerevan Metro),,,open,exact,,,
AM.STN.Yerevan,Yerevan,Yerevan,40.1553328,44.507897,AM,567804,369670355,,,Q4176210,en:Yerevan railway station,,,open,exact,,,
AM.STN.Garegin_Nzhdeh_Square,Garegin Nzhdeh Square,Garegin Nzhdeh Square,40.1502615,44.4826866,AM,,386606120,,,Q2498675,en:Garegin Nzhdeh Square (Yerevan Metro),,,open,exact,,,
AM.STN.Shengavit,Shengavit,Shengavit,40.1449615,44.4858698,AM,,386620230,,,,,,,open,exact,,,
AM.STN.General_Andranik,General Andranik,General Andranik,40.1713188,44.512157,AM,,386887818,,,Q3576098,en:General Andranik (Yerevan Metro),,,open,exact,,,
AM.STN.Sanahin,Sanahin,Sanahin,41.0772878,44.6185203,AM,,618738557,,,,,,,open,exact,,,
AM.STN.Ayrum,Ayrum,Ayrum,41.1897147,44.8937791,AM,564702,618739635,,,Q4058980,hy:Այրում (կայարան),,,open,exact,,,
AM.STN.Echmiatsin,Echmiatsin,Echmiatsin,40.0690231,44.2660677,AM,567306,618760986,,,,,,,open,exact,,,
AM.STN.Qarakert,Qarakert,Qarakert,40.2488047,43.8222832,AM,566708,618761257,,,,,,,open,exact,,,
AM.STN.Araks,Araks,Araks,40.1839981,43.9186797,AM,566905,618761511,,,,,,,open,exact,,,
AM.STN.Dalarik,Dalarik,Dalarik,40.2304001,43.8769284,AM,566801,618761612,,,,,,,open,exact,,,
AM.STN.sp_Artashar,sp Artashar,sp Artashar,40.1070687,44.1789136,AM,,618763015,,,,,,,open,exact,,,
AM.STN.sp_Bagravan,sp Bagravan,sp Bagravan,40.4792939,43.6661546,AM,566411,618763488,,,,,,,open,exact,,,
AM.STN.sp_Shirakavan,sp Shirakavan,sp Shirakavan,40.6420881,43.7439062,AM,,618763860,,,,,,,open,exact,,,
AM.STN.Bayandur,Bayandur,Bayandur,40.693976,43.7720739,AM,567503,618763898,,,Q4080352,ru:Баяндур (станция),,,open,exact,,,
AM.STN.Spitak,Spitak,Spitak,40.8373541,44.2702147,AM,565404,618765608,,,,,,,open,exact,,,
AM.STN.Sasuntsi_David,Sasuntsi David,Sasuntsi David,40.1546048,44.507062,AM,,662023472,,,Q3473832,en:David of Sasun (Yerevan Metro),,,open,exact,,,
AM.STN.Republic_Square,Republic Square,Republic Square,40.1775842,44.5154458,AM,,662023477,,,Q3390443,en:Republic Square (Yerevan Metro),,,open,exact,,,
AM.STN.Barekamutyun,Barekamutyun,Barekamutyun,40.1968713,44.4950125,AM,,662024035,,,Q2061891,en:Barekamutyun (Yerevan Metro),,,open,exact,,,
AM.STN.Ani,Ani,Ani,40.4653279,43.6432768,AM,566500,1185035453,,,,,,,open,exact,,,
AM.STN.Bagravan,Bagravan,Bagravan,40.5159586,43.6867716,AM,566411,1200165516,,,,,,,open,exact,,,
AM.STN.Masis_c-le,Masis c-le,Masis c-le,40.0631107,44.4223151,AM,,1252614302,,,,,,,open,exact,,,
AM.STN.Tatev,Tatev,Tatev,39.3810147,46.2494657,AM,,1254637575,,,,,,,open,exact,,,
AM.STN.Arteni,Arteni,Arteni,40.3004079,43.7683849,AM,566619,1308725713,,,,,,,open,exact,,,
AM.STN.Tsakhadzor_5th_ropeway,Tsakhadzor 5th ropeway,Tsakhadzor 5th ropeway,40.5347968,44.685132,AM,,1328413478,,,,,,,open,exact,,,
AM.STN.Lmbat-2,Lmbat-2,Lmbat-2,40.6129474,43.9542783,AM,,1404756242,,,,,,,open,exact,,,
AM.STN.Artik,Artik,Artik,40.6217317,43.9679099,AM,566106,1410364058,,,,,,,open,exact,,,
AM.STN.Gyumri,Gyumri,Gyumri,40.7876084,43.860237,AM,565809,1411538807,,,Q4153265,en:Gyumri railway station,,,open,exact,,,
AM.STN.Masis,Masis,Masis,40.0619799,44.4105494,AM,567400,1431687901,,,Q4283803,ru:Масис (станция),,,open,exact,,,
AM.STN.Sevan,Sevan,Sevan,40.551123,44.9568153,AM,568900,1863562938,,,Q4411874,,,,open,exact,,,
AM.STN.sp_Akhtamar,sp Akhtamar,sp Akhtamar,40.5982452,44.9623823,AM,568924,1863641135,,,,,,,open,exact,,,
AM.STN.Aragats,Aragats,Aragats,40.3254161,43.6647941,AM,566604,1946135127,,,,,,,open,exact,,,
AM.STN.sp_Ararat,sp Ararat,sp Ararat,39.8532396,44.6897662,AM,569509,1953137310,,,,,,,open,exact,,,
AM.STN.Yeraskh,Yeraskh,Yeraskh,39.7403992,44.8256993,AM,569602,1953228388,,,Q7275343,,,,open,exact,,,
AM.STN.sp_Armash,sp Armash,sp Armash,39.7606935,44.8065241,AM,569528,1953228631,,,,,,,open,exact,,,
AM.STN.sp_Surenavan,sp Surenavan,sp Surenavan,39.7949001,44.7681483,AM,569513,1953228646,,,,,,,open,exact,,,
AM.STN.Nor_Hachyn,Nor Hachyn,Nor Hachyn,40.283567,44.5723006,AM,,1972887044,,,,,,,open,exact,,,
AM.STN.sp_Almast,sp Almast,sp Almast,40.2051523,44.5504623,AM,,1979006072,,,,,,,open,exact,,,
AM.STN.sp_Solak,sp Solak,sp Solak,40.4608505,44.7076942,AM,,1980985674,,,,,,,open,exact,,,
